item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,5651994007.0,3392023440.0,3233143086.0,3307612495.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,28316935.0,26795943.0,52108086.0,37347822.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,5623677072.0,3365227497.0,3181035000.0,3270264673.0
4. Giá vốn hàng bán ,4. Cost of goods sold,4681376524.0,3001926887.0,2921201911.0,2777246727.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,942300548.0,363300610.0,259833088.0,493017946.0
6.Doanh thu hoạt động tài chính ,6. Financial income,87550834.0,49563859.0,53750156.0,33322155.0
7. Chi phí tài chính ,7. Financial expenses,8968530.0,6323144.0,8361304.0,8906436.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,898533.0,423463.0,1048283.0,1775160.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,95847743.0,88184260.0,117901962.0,58975286.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,132757282.0,107554899.0,104393819.0,75319733.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,792277827.0,210802167.0,82926159.0,383138646.0
12. Thu nhập khác ,12. Other income,1825241.0,1201237.0,205095.0,545050.0
13. Chi phí khác ,13.Other expenses,601490.0,462049.0,2592115.0,768276.0
14. Lợi nhuận khác,14. Other profit ,1223752.0,739189.0,-2387021.0,-223226.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,793501578.0,211541355.0,80539139.0,382915421.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,159957795.0,43192069.0,11558265.0,22607783.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,633543783.0,168349286.0,68980874.0,360307638.0
Lợi ích của cổ đông thiểu số,Minority's interest,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,633543783.0,168349286.0,68980874.0,360307638.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),4336.0,1152.0,472.12,2398.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
