item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,509757954.0,464467028.0,361866793.0,324480309.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,224142.0,130016.0,,201495.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,509533812.0,464337012.0,361866793.0,324278814.0
4. Giá vốn hàng bán ,4. Cost of goods sold,449182985.0,416207636.0,322176944.0,279349509.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,60350827.0,48129377.0,39689849.0,44929305.0
6.Doanh thu hoạt động tài chính ,6. Financial income,5466743.0,481369.0,5135334.0,1571177.0
7. Chi phí tài chính ,7. Financial expenses,16304660.0,12281732.0,10098707.0,11079007.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,15732190.0,11934782.0,9781671.0,10799522.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,-2898817.0,6973708.0,4348132.0,3226847.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,44373053.0,25767197.0,36956895.0,26224705.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,8038674.0,3588108.0,-6578551.0,5969922.0
12. Thu nhập khác ,12. Other income,6773257.0,470553.0,11714697.0,61381421.0
13. Chi phí khác ,13.Other expenses,3348448.0,671632.0,1071981.0,64837413.0
14. Lợi nhuận khác,14. Other profit ,3424809.0,-201078.0,10642717.0,-3455992.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,11463483.0,3387030.0,4064165.0,2513930.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,2221874.0,576412.0,614891.0,592830.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,9241610.0,2810618.0,3449275.0,1921099.0
Lợi ích của cổ đông thiểu số,Minority's interest,2948125.0,317821.0,174135.0,147176.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,6293485.0,2492797.0,3275140.0,1773923.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,,,
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
