item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,1196339021.0,685404126.0,515730393.0,130909438.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,33886631.0,1389199.0,7596281.0,4688419.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,1162452391.0,684014927.0,508134113.0,126221018.0
4. Giá vốn hàng bán ,4. Cost of goods sold,865622977.0,569477539.0,443945002.0,104105368.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,296829414.0,114537388.0,64189111.0,22115650.0
6.Doanh thu hoạt động tài chính ,6. Financial income,8279276.0,37889733.0,86506237.0,44819343.0
7. Chi phí tài chính ,7. Financial expenses,43291469.0,24952632.0,63721095.0,20929765.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,43291469.0,24952632.0,63721095.0,20929765.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,2198753.0,,2047880.0,1383225.0
9. Chi phí bán hàng ,9. Selling expenses,43920219.0,18729187.0,24270812.0,9500864.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,28601045.0,20796356.0,18844681.0,17448000.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,191494710.0,87948947.0,45906639.0,20439590.0
12. Thu nhập khác ,12. Other income,621428.0,3596734.0,1007257.0,66088.0
13. Chi phí khác ,13.Other expenses,26415976.0,1609634.0,71.0,188327.0
14. Lợi nhuận khác,14. Other profit ,-25794548.0,1987100.0,1007187.0,-122239.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,165700162.0,89936046.0,46913826.0,20317351.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,46178721.0,1071948.0,495302.0,569128.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-3341943.0,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,122863384.0,88864099.0,46418524.0,19748223.0
Lợi ích của cổ đông thiểu số,Minority's interest,971306.0,954634.0,576975.0,488041.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,121892078.0,87909465.0,45841549.0,19260182.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),1017.0,741.0,458.0,191.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,1.0,1.0,0.0,0.0
