item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,4034684.0,3860475.0,6141340.0,3480756.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,4034684.0,3860475.0,6141340.0,3480756.0
4. Giá vốn hàng bán ,4. Cost of goods sold,3412103.0,4489266.0,10612277.0,2666839.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,622581.0,-628790.0,-4470938.0,813918.0
6.Doanh thu hoạt động tài chính ,6. Financial income,22024488.0,57646198.0,20859788.0,12963851.0
7. Chi phí tài chính ,7. Financial expenses,15713072.0,8432418.0,-408900.0,-10568330.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,,,,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,566132.0,495896.0,4142.0,94000.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,10007102.0,9185082.0,10048332.0,10766146.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,-3639238.0,38904012.0,6745277.0,13485953.0
12. Thu nhập khác ,12. Other income,4329076.0,24881.0,12809.0,20939.0
13. Chi phí khác ,13.Other expenses,214366.0,17446746.0,3481953.0,4452297.0
14. Lợi nhuận khác,14. Other profit ,4114710.0,-17421865.0,-3469144.0,-4431358.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,475472.0,21482146.0,3276133.0,9054595.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,120817.0,8780398.0,1350945.0,2702050.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,354655.0,12701748.0,1925187.0,6352544.0
Lợi ích của cổ đông thiểu số,Minority's interest,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,354655.0,12701748.0,1925187.0,6352544.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),3.0,104.0,16.0,104.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
