item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,2914294074.0,2512786047.0,2113869796.0,1676311518.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,473208592.0,307666108.0,119832885.0,32605004.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,2441085482.0,2205119938.0,1994036910.0,1643706515.0
4. Giá vốn hàng bán ,4. Cost of goods sold,1439521366.0,1349562786.0,1183501179.0,946351264.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,1001564116.0,855557153.0,810535731.0,697355250.0
6.Doanh thu hoạt động tài chính ,6. Financial income,22686264.0,13318220.0,24848785.0,23541286.0
7. Chi phí tài chính ,7. Financial expenses,40118881.0,25191684.0,31489183.0,29408349.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,16501360.0,3489360.0,6036185.0,3794588.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,378319050.0,312128895.0,309885868.0,269015148.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,160809619.0,128270026.0,119602910.0,131840011.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,445002831.0,403284767.0,374406555.0,290633029.0
12. Thu nhập khác ,12. Other income,2760727.0,2386162.0,3301633.0,974993.0
13. Chi phí khác ,13.Other expenses,1515820.0,1477995.0,435253.0,203879.0
14. Lợi nhuận khác,14. Other profit ,1244907.0,908167.0,2866379.0,771114.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,446247738.0,404192935.0,377272934.0,291404142.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,97109715.0,83330541.0,77716929.0,67863825.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,349138023.0,320862393.0,299556006.0,223540318.0
Lợi ích của cổ đông thiểu số,Minority's interest,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,349138023.0,320862393.0,299556006.0,223540318.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),1976.0,1932.0,3637.0,2951.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,4.0,3.0
